ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,,
189,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,495,490,550,550,450,580,450,450,450,680,350,395,450,395,450,480,480,480,480,480,480,550,,,550,550,550,550,,550,550,550,550,500,650,550,550,,,560,560,560,560,560,560,560,,,
190,Apple,"Apples, loose, per Kg","Apple, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,500,1400,,,450,580,450,450,450,680,350,,450,395,450,480,480,480,480,,480,550,,,550,550,450,550,,450,450,550,550,550,550,550,550,,,560,560,,560,560,560,560,,,
191,Apple,"Apples, loose, per Kg","Red Apple, 1Kg, Australia",Traverso, ,0,Y,390,490,650,650,650,550,,,660,620,620,,680,550,,550,550,550,550,550,550,650,,,680,680,,,,550,550,,650,650,550,650,650,,,750,750,750,750,750,780,750,,,
192,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,950,1400,550,650,750,950,,950,950,1200,580,950,950,950,950,1200,1200,1200,1200,,1200,950,,,950,950,1400,1400,,1400,1400,1400,950,980,950,980,980,,,,,,850,850,,,,,
193,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,950,1400,,,,1400,,,,1200,,,,,,,,,,,,,,,950,950,1400,1400,,1400,1400,1400,,980,1400,980,980,,,,,850,850,850,,,,,
194,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Traverso, ,0,Y,950,1400,800,1400,950,1200,,,1200,1200,,,990,1200,,1250,1250,1250,1250,1250,1250,,,,1200,1200,,1450,,1200,1200,1450,,1350,,,1450,,,1650,1650,,1250,1250,,,,,
195,Grapes,"Grapes, bunch, per Kg","Grappes, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,950,1400,1800,1800,,1400,1400,,1400,1950,1500,,,1500,1500,,,,,1800,,1800,,,1800,1800,1800,1800,,1800,1800,1800,1800,1800,1800,1800,195,,,,1840,1840,1840,2300,1800,1950,,,
196,Grapes,"Grapes, bunch, per Kg","Grappes ""raisin Asrtd, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1450,490,,,1300,1400,1400,,,1950,1500,,,,1500,1500,1500,1500,1500,1500,1500,1800,,,1800,1800,1400,1900,,1400,1400,1900,1800,,1950,1800,1800,,,,1840,1840,595,2300,2300,,,,
197,Grapes,"Grapes, bunch, per Kg","Grappes, 1Kg, Australia",Traverso, ,0,Y,1390,1400,1450,1400,,1690,,,1750,1800,,650,1950,1950,1950,1950,1950,1950,1950,1950,1950,2600,,,,,,,,,,,2600,2950,,2950,,,,,,,,3250,3250,3250,,,
198,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,450,495,550,550,495,495,395,550,,580,580,450,450,,450,450,450,450,450,550,550,550,,,,,550,550,,550,550,550,550,580,480,580,580,,,595,595,300,595,595,,595,,,
199,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,650,220,,,495,450,395,395,,580,580,450,450,,450,450,450,450,450,550,550,550,,,,,450,550,,450,450,550,550,550,550,580,580,,,595,595,595,,595,,,,,
200,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Traverso, ,0,Y,695,490,650,650,750,650,,,680,600,,650,750,,750,,,,,,,750,,,750,750,,850,,650,650,850,750,750,,750,750,,,780,780,,780,780,780,,,,
201,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,250,200,250,230,250,250,250,250,250,250,250,250,,250,250,250,250,250,250,250,250,,,,250,250,,,,,,,,,250,250,,,,,225,,255,255,255,,,,
202,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Au Bon Marche Manples, ,0,Y,120,225,,,250,250,,150,250,250,,,250,,250,,,,,,,190,,,,,,,,,,,190,,,,,,,,,,,,,,,,
203,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Traverso, ,0,Y,200,200,,250,,,,,,150,,,,,,,,,,,,,,,,,,,,190,190,,,,,,,,,,,150,,,250,,,,
204,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, local, 5medium size bunch, about 150-200vt",Market House, ,0,Y,200,120,200,400,400,500,400,400,500,550,400,,300,300,300,300,300,300,300,300,300,300,300,300,200,200,800,,,800,800,,300,850,,850,,,,700,1250,1200,,700,,500,,,
205,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,200,120,120,300,300,300,,200,200,200,250,200,200,,,280,280,280,280,180,180,,,,,,,,,,,,,250,280,250,250,,,255,255,215,250,185,185,185,,,
206,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Au Bon Marche Manples, ,0,Y,120,180,,,,300,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Traverso, ,0,Y,150,100,,250,250,250,200,150,220,200,220,200,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,,,,
208,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, local, 5 medium size, yellow, 100-150vt",Market House, ,0,Y,100,120,400,400,200,200,200,200,250,300,350,200,300,300,200,200,200,200,200,200,200,200,200,200,200,200,,,,,,,200,380,1000,650,,700,400,500,750,430,,500,,800,,,
209,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,830,900,850,850,1050,950,,1200,950,980,1100,1000,,,,995,995,995,995,950,995,,,,,,,,,,,,,1500,,1500,1500,,,,,,,1995,,,,,
210,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Au Bon Marche Manples, ,0,Y,750,200,,,850,1050,890,1200,950,980,1100,1000,,,995,1250,1250,1250,1250,950,950,950,,,,,,,,,,,950,1500,,,1500,,,,,,,,,,,,
211,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Traverso, ,0,Y,1400,1800,,980,,,,630,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Rock melon,"Rock melon, loose, per Kg","Water melon, local, 5 medium size, red, 500-600vt",Market House, ,0,Y,100,100,,150,100,100,,,1000,,,,,,,,,,,,,,,,1800,1800,3500,7350,,3500,3500,7350,,4000,5200,3620,,4130,,,8500,,,,,9800,,,
213,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1pc, local",Au Bon Marche Nambatu, ,0,Y,50,50,50,,40,40,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
214,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Au Bon Marche Manples, ,0,Y,100,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Traverso, ,0,Y,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Green coconut,"Green coconut, piece, per Kg","Green coconut, local, 5 fruits, medium, 30vt",Market House, ,0,Y,100,120,90,120,90,90,90,90,90,100,90,90,90,90,90,90,90,90,90,120,90,90,90,90,90,90,600,600,,600,600,600,90,550,750,280,,500,400,400,500,500,550,400,,250,,,
217,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, 120vt for 2 pc,local",Au Bon Marche Nambatu, ,0,Y,200,300,150,150,,100,150,150,150,,180,180,180,180,180,180,180,180,180,180,180,,,,,,,,,,,,,180,,180,180,180,180,,185,185,185,185,,,,,
218,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Au Bon Marche Manples, ,0,Y,130,250,,,,100,,,,,,180,,,180,,,,,,,,,,180,180,,,,,,,,,180,,,,,,,,,,,,,,
219,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Chew Store, ,0,N,150,100,150,150,,,150,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, local, 5big size, green marcots",Market House, ,0,Y,100,300,300,300,200,100,150,100,150,200,300,150,,,200,200,200,200,200,200,200,200,200,200,300,300,300,,,300,300,,200,,,,,250,250,1000,,500,250,1000,,,,,
221,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,150,150,180,180,500,250,180,250,500,250,250,350,,250,250,250,250,250,250,380,250,,,,,,,,,,,,,295,380,350,450,350,180,,,350,350,350,350,350,,,
222,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Manples, ,0,Y,180,150,,,,250,250,250,500,250,,,,250,250,,,,,250,,250,,,,,,,,,,,250,,,,450,350,350,350,350,350,,,350,,,,
223,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Traverso, ,0,Y,150,100,150,150,150,295,100,295,,150,150,180,180,180,180,,,,,,,250,,,,,,,,,,,250,300,250,650,450,450,450,,450,450,550,550,,450,,,
224,Lime,"Limes, loose, per Kg","Lime, local, local, 5plastics, 100vt",Market House, ,0,Y,100,150,300,300,300,300,300,,300,300,300,600,100,100,300,300,300,300,300,300,300,300,300,300,300,300,,,,,,,300,,,,,500,1000,1000,1000,500,,1000,,900,,,
225,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,750,100,850,850,850,850,,,,,,950,,,,950,950,950,950,,950,,,,1200,1200,,,,,,,,,,,,,460,,,,,,,,,,
226,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Manples, ,0,Y,895,150,,,,,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Traverso, ,0,Y,1190,100,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,
228,"Mandarine, local","Mandarines, local, loose, per Kg","Mandarine, local, 5 medium size of 30vt each",Market House, ,0,Y,80,150,150,150,,150,150,150,,,150,,,,200,200,200,200,200,200,200,200,200,200,,,,,,,,,200,,,,,300,300,,,250,250,250,,,,,
229,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,350,80,250,250,450,500,,,350,,650,,380,,,,,,,,,,,,,,,,,,,,,,450,450,550,,,,560,,650,650,560,,,,
230,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Manples, ,0,Y,235,200,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,550,550,,,,,
231,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Traverso, ,0,Y,395,220,,490,395,395,,,250,395,,,450,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,
232,Pineapples,"Pineapples, loose, per Kg","Pineapples, local, 5 medium size, 200-300vt",Market House, ,0,Y,200,250,600,600,200,200,,,500,800,500,,400,400,600,600,600,600,600,600,600,600,600,600,400,400,800,,,800,800,,600,,,,,2400,,3000,500,800,,3000,,900,,,
237,Yam,"Yam, basket, per Kg","Yam, Basket, local, 5baskets, 1000vt each",Market House, ,0,Y,1000,250,500,2000,2000,2000,2000,,3000,2000,,2000,,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2500,2500,4000,700,,9000,9000,700,1000,,,3000,,8000,4000,2500,9500,7500,11000,2500,,1000,,,
238,Island taro,"Island taro, basket, per Kg","Island taro, local, 5bundles, 500-600vt",Market House, ,0,Y,500,1000,1000,1000,1000,1000,1000,1200,1000,1000,1200,1200,,,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,600,600,1100,3000,,2700,2700,3000,1200,2500,,2000,,,600,,2500,500,1000,1000,,,,,
239,Manioc,"Manioc (kassava), basket, per Kg","Manioc (kassava), Basket, local,5 baskets, 500-600vt",Market House, ,0,Y,500,600,1000,1000,1000,1000,1200,,1000,1000,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1850,,2800,2800,1850,1000,2050,2300,2700,,2500,2100,2500,2500,2500,2000,2500,,2500,,,
240,Sweet Potato (Kumala),"Sweet potato (kumala), basket, per Kg","Sweet Potato, Basket, local, 5baskets, 500-600vt",Market House, ,0,Y,600,600,1000,1000,1000,1000,1200,1000,1000,1200,,,1000,1000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1000,1000,1100,2500,,2600,2600,2500,1200,2300,2400,3000,,2500,2100,2800,2500,2500,3000,2800,,2500,,,
241,Taro (Fiji),"Taro, basket, per Kg","Taro Fiji, Basket, 11Kg, local,5 baskets, 500-600vt",Market House, ,0,Y,500,500,1000,1000,600,600,1400,1200,1300,1200,1400,1200,1200,1200,600,600,600,600,600,600,600,600,600,600,1000,1000,1600,,,2700,2700,,600,,4000,1000,,,,1400,3500,3500,3400,1400,,500,,,
242,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,395,500,450,450,450,450,,150,450,450,,380,150,,,295,295,295,295,,295,,,,350,350,495,,,495,495,,,195,,,,,,550,,,,,,,,,
243,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Traverso, ,0,Y,320,495,,495,360,360,360,360,,490,,,150,,260,,,,,,,680,,,680,680,450,,,450,450,,680,350,,,,,,,,,,,,,,,
244,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg",Au Bon Marche Manples, ,0,Y,210,490,,,,450,,150,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,
245,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,395,495,450,450,450,450,,,180,150,395,,195,160,125,130,130,130,130,195,195,,,,350,350,450,,,450,450,,,195,195,195,195,225,225,550,225,200,200,200,,200,,,
246,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Traverso, ,0,Y,225,490,360,495,360,360,180,360,180,450,490,195,150,230,260,260,260,260,260,260,260,260,,,,,550,,,550,550,,260,,260,350,250,350,350,380,380,380,380,380,,380,,,
247,Potato,"Potatoes, white, loose, per Kg","White not washed potatoes, 1Kg, local",Au Bon Marche Manples, ,0,Y,295,495,,,150,150,150,,175,150,195,165,195,300,240,125,125,125,125,195,195,195,,,195,195,195,280,,195,195,280,195,195,190,195,195,225,,200,395,200,200,200,550,200,,,
248,Potato,"Potatoes, white, loose, per Kg","Sweet white kumala, local, 5 baskets, 500-600vt",Market House, ,0,Y,295,490,1000,1000,1000,1200,1400,1000,1100,1200,1400,1200,1000,1000,600,600,600,600,600,600,600,600,600,600,600,600,1500,,,2600,2600,,600,,1300,,,3000,3000,,3000,2500,2700,2700,,,,,
249,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Au Bon Marche Nambatu, ,0,Y,260,500,330,330,280,200,330,330,330,330,295,295,295,295,950,330,330,330,330,330,330,350,,,350,350,330,,,330,330,,350,350,330,390,395,395,395,395,395,395,395,395,395,395,,,
250,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg, imported",Au Bon Marche Manples, ,0,N,250,260,,,280,240,,330,330,330,295,,295,295,295,,,,,,,500,,,,,330,,,330,330,,500,350,350,390,395,295,395,395,,395,395,395,,395,,,
251,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Traverso, ,0,Y,260,260,,360,350,225,350,360,360,400,,,380,400,450,450,450,450,450,450,450,550,,,750,750,,550,,320,320,550,550,450,450,450,450,450,450,480,480,,480,480,450,,,,
252,Carrot local,"Carrots, loose, per Kg","Fresh carrots, 1Kg",Au Bon Marche Manples, ,0,Y,260,260,330,330,330,200,330,330,,,,295,,295,,,,,,330,,350,,,350,350,,,,,,,350,,,390,,,,,,,,,,,,,
253,Carrot local,"Carrots, loose, per Kg","Fresh carrots, local, 5 bundles, 100vt",Market House, ,0,Y,100,255,,200,200,200,200,,200,200,,200,200,200,,,,,,,,,,,,,,650,,,,650,,,,400,,,1000,1000,1000,,750,1000,,,,,
254,Radish,"Radish, pkt, per Kg","Radish, 1Kg",Au Bon Marche Nambatu, ,0,Y,1200,260,1950,1950,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Radish,"Radish, pkt, per Kg","Radish, Pkt",Au Bon Marche Manples, ,0,Y,180,220,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,,,,
256,Radish,"Radish, pkt, per Kg","Radish, Pkt",Traverso, ,0,Y,250,1400,250,250,180,180,,,,220,,190,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,200,,,,,,,,
257,Radish,"Radish, pkt, per Kg","Radish, local, 5bundles, 100vt",Market House, ,0,Y,180,265,,200,200,200,,,,,,,200,200,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,,200,,1000,,,,,
258,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,235,320,150,950,350,350,180,,180,200,,180,180,240,240,365,365,365,365,550,365,,,,270,270,270,,,270,270,,,,220,1200,,,270,850,1000,270,270,270,270,270,,,
259,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Manples, ,0,Y,245,225,,,150,150,180,,,200,180,180,180,240,,,,,,270,,,,,270,270,270,290,,270,270,290,,270,295,1200,,,,850,,270,270,270,,,,,
260,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Traverso, ,0,Y,260,200,180,180,180,220,180,,,200,200,180,,200,220,,,,,,,250,,,250,250,270,,,270,270,,250,250,220,700,,720,730,250,200,250,250,250,,,,,
261,Lettuce local,"Lettuce, per Kg","Lettuce, local, 5 medium rings, 300-400vt",Market House, ,0,Y,200,200,1200,900,1100,1100,900,1200,1200,,1200,450,300,300,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,,,1500,900,,1400,1400,900,1200,,,2500,,1500,2100,2000,2000,1800,1000,2000,,,2000,,
262,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,650,320,150,950,150,150,,350,,,180,,,240,,,,,,,,,,,,,,,,,,,,1500,,1200,,,,,,,,,,,,,
263,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Manples, ,0,Y,650,220,,,,,,250,180,,,,180,240,240,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,
264,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Traverso, ,0,Y,650,355,450,330,,140,,,200,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,950,400,750,950,950,950,1200,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Tomato local,"Tomato, local, loose, per Kg","Tomato, 1Kg, local",Au Bon Marche Manples, ,0,Y,900,210,,,950,950,1200,,,,,650,,950,240,650,650,650,650,650,650,,,,,,950,,,950,950,,,,,,,,,,,,,850,,,,,
267,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, small size",Traverso, ,0,Y,1000,200,990,1800,800,800,800,,800,,,650,350,800,,450,450,450,450,450,450,,,,,,650,,,650,650,,,650,1000,,,1800,,,,,,,,,,,
268,Tomato imported,"Tomato, loose, per Kg","Tomato, local, 10 fruits, big size, 50-60vt",Market House, ,0,Y,300,400,500,400,500,500,500,500,500,200,,600,500,500,,,,,,,,,,,,,200,50,,300,300,50,,,,1300,,2500,2200,1000,1500,,,1000,,1100,2000,,
269,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1200,1400,950,950,750,1200,,,1200,1500,1500,,,1200,,650,650,650,650,1200,650,1200,,,,,,,,,,,1200,1200,1200,1800,1800,,1500,,1500,1500,1500,1500,,,,,
270,Tomato imported,"Tomato, imported, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Manples, ,0,Y,1150,320,,,,,,,1200,1500,1500,,,,,,,,,1200,,,,,,,,,,,,,,1200,1200,1800,1800,1500,1500,,1500,1500,1700,1700,,1500,,,
271,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, big size",Traverso, ,0,Y,1090,300,990,1800,800,800,,,1200,,,650,,,990,,,,,,,,,,,,1800,,,1800,1800,,,1600,,1950,,,,,,,,,,,,,
272,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Au Bon Marche Nambatu, ,0,Y,650,200,450,250,450,350,450,320,320,450,650,450,450,250,350,450,450,450,450,450,450,,,,,,330,,,330,330,,,650,450,,650,665,665,665,,910,,450,665,650,,,
273,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Au Bon Marche Manples, ,0,Y,330,400,,,450,350,450,320,,450,,,,,,250,250,250,250,250,250,,,,,,,330,,,,330,,,450,,,,665,,,,,,,,,,
274,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Traverso, ,0,Y,260,150,260,260,260,260,250,180,250,200,250,250,250,,250,250,250,250,250,250,250,,,,300,300,,,,,,,,350,280,450,,550,550,450,,,550,550,550,,,,
275,Cucumber,"Cucumber, loose, per Kg","Cucumber, local,5medium size, 100vt each",Market House, ,0,Y,200,200,200,200,200,200,200,200,200,300,200,,200,200,,,,,,,,,,,200,200,450,900,,530,530,900,,,,1300,,650,600,800,500,500,500,800,,350,500,,
276,Beans,"Long beans, loose, per Kg","Long beans, 1Kg",Au Bon Marche Nambatu, ,0,Y,180,220,180,250,,180,,,180,180,,550,,180,,,,,,,,,,,350,350,250,,,250,250,,,295,,,,300,,,,,,,,295,,,
277,Beans,"Long beans, loose, per Kg","Long beans, Pkt, local",Au Bon Marche Manples, ,0,Y,221,1400,,,,180,,,,180,190,,,,,,,,,,,,,,,,,,,,,,,295,,,,,,,,,,,,,,,
278,Beans,"Long beans, loose, per Kg","Long beans, 1Kg",Traverso, ,0,Y,221,250,,320,,,,,,150,,290,,,,,,,,,,,,,,,,,,,,,,200,,300,380,,,,,295,,,295,295,,,
1100,DVD player,"DVD player, name brand, single disc","DVD player, shenger, MPEG 4, photo of Rastaman",9 Ocean shopping centre,0,8,N,300,300,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, 1Kg",Au Bon Marche Nambatu, ,0,Y,700,110,750,995,750,750,,550,450,850,550,,550,850,850,850,850,850,850,850,850,,,,,,250,,,250,250,,,850,550,850,850,850,,850,850,850,850,850,850,,,,
281,Beans,"Dwarf beans, loose, per Kg","Dwarf beans, 1Kg",Au Bon Marche Manples, ,0,Y,560,200,,,,,,550,450,850,550,,550,450,,550,550,550,550,550,550,,,,,,350,,,350,350,,,,780,,,,,850,,560,,850,,,,,
282,Beans,"Dwarf beans, loose, per Kg","Dwarf beans Skyland, 1Kg",Traverso, ,0,Y,380,350,295,350,295,295,295,295,295,295,650,,,350,,650,650,650,650,650,650,,,,,,270,,,270,270,,,,,,650,650,,,450,,450,450,450,,,,
