ItemId,Eas,Specification,LocalDescription,Outlet,Address,CollDay,Active,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11,Sep-11,Dec-11,Mar-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Sep-13,Dec-13,Mar-14,Jun-14,Sep-14,Dec-14,Mar-15,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,,,
193,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,
194,Kiwi,"Kiwi fruit, loose, per Kg","Kiwi, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,,,,,
195,Grapes,"Grapes, bunch, per Kg","Grappes, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,1,,,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,1,,,,
196,Grapes,"Grapes, bunch, per Kg","Grappes ""raisin Asrtd, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,,,,
197,Grapes,"Grapes, bunch, per Kg","Grappes, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,,1,,1,1,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,,1,1,,1,,,,
198,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,
199,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,
200,Pears,"Pears, loose, per Kg","Pears, 1Kg, Australia",Traverso, ,0,Y,1,1,1,1,1,1,,,,1,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,,1,1,,1,,,,
201,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,,1,1,,,1,,,1,1,,,,,
202,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,,1,1,1,1,,1,,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
203,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, 1Kg, local",Traverso, ,0,Y,1,1,1,1,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1.068,,,,,,,,
204,"Banana, eating","Banana, eating, bunch, per Kg","Ripe banana, local, 5medium size bunch, about 150-200vt",Market House, ,0,Y,1.8,2.6,2.1,2.5,2.6,7,4.1,4.8,4.8,2.8,2.1,2.2,4,2.2,1.89,1.89,1.89,1.89,1.89,1.88,1.89,1.88,1.88,1.88,1.88,1.88,,,3.8,3.8,3.8,,,,7.06,4.2,,20.62,5.24,9.57,6.44,,5024,9.57,,6.53,5.35,,,
205,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,,1,1,1,,1,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,1,,,,
206,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, 1Kg, local",Traverso, ,0,Y,1,1,,1,1,1,,,,1,,,1,,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,1,,20.83,,,
208,Pawpaw,"Pawpaws, loose, per Kg","Pawpaw, local, 5 medium size, yellow, 100-150vt",Market House, ,0,Y,1.6,1.4,1.9,1.8,4.5,5,2.1,2.5,2.5,4.6,1.9,2.1,4.2,2.3,3,3,3,3,3,3,3.5,3.2,3.2,3.2,3.2,3.2,,,3.2,3.2,3.2,,,,,,,5.9,4.81,5.56,5.65,4.35,4081,5.56,,3.16,,,,
209,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,1,1,,,,,,,1,,1,,,,
210,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,
211,Rock melon,"Rock melon, loose, per Kg","Rock melon, 1Kg, local",Traverso, ,0,Y,1,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
212,Rock melon,"Rock melon, loose, per Kg","Water melon, local, 5 medium size, red, 500-600vt",Market House, ,0,Y,1,1,,3.3,1,12.6,,,,,,,11,10,,,,,,,,,,,,,7.1,37,,,,37,37,37,58,,,,18.5,,6.15,28,18.5,18.5,,,,,,
213,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1pc, local",Au Bon Marche Nambatu, ,0,Y,1,1,,,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.918,,,,,,
214,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Green coconut,"Green coconut, piece, per Kg","Green coconut, 1Kg, local",Traverso, ,0,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Green coconut,"Green coconut, piece, per Kg","Green coconut, local, 5 fruits, medium, 30vt",Market House, ,0,Y,6.9,4.6,4.2,4.1,2.2,3,2,3.6,3.6,4.1,,2.8,2,2.2,2.5,2.5,2.5,2.5,2.5,2.5,2.65,2.59,2.59,2.59,2.59,2.59,1,20.85,2.59,2.59,2.59,20.85,20.85,20.85,,,,3.84,3.55,3.85,4.05,4.27,3.55,3.85,,4.01,,,,
217,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, 120vt for 2 pc,local",Au Bon Marche Nambatu, ,0,Y,1.2,1,1,1,,1,1,1,1,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,,,1,1,,,1,1,1,,,,,,
218,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, 1Kg, local",Chew Store, ,0,N,1,1,1.5,,,1,2.99,1,1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Pamplemous,"Pamplemous, loose, per Kg","Pamplemous, local, 5big size, green marcots",Market House, ,0,Y,2.8,2.8,2.1,2.3,2.9,3,2.3,,,,0.7,3,,,3,3,3,3,3,3,2.98,2.76,2.76,2.76,2.76,2.76,,,2.76,2.76,2.76,,,,,,,2.63,3.9,3.45,1.51,3.35,3.9,3.45,,,,,,
221,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,,,1,1,,,1,1,1,1,1,,,,
222,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,1,1,1,,1,1,1,,,,,,
223,Lime,"Limes, loose, per Kg","Lime, local, 1Kg, local",Traverso, ,0,Y,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,1,1,1,1,,1,1,1,1,,1,,,,
224,Lime,"Limes, loose, per Kg","Lime, local, local, 5plastics, 100vt",Market House, ,0,Y,1.5,1.5,3.1,3,2.4,2.8,3.9,2,2,4.4,2.7,6,2.4,6.3,2.3,2.3,2.3,2.3,2.3,2.3,2.32,2.28,2.28,2.28,2.28,2.28,,,2.28,2.28,2.28,,,,,,,6.14,1.27,2.36,1.75,2.57,1.27,2.36,,,5,,,
225,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1.1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Au Bon Marche Manples, ,0,Y,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
227,"Mandarine, imported","Mandarines, imported, loose, per Kg","Mandarine, 1Kg, imported",Traverso, ,0,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
228,"Mandarine, local","Mandarines, local, loose, per Kg","Mandarine, local, 5 medium size of 30vt each",Market House, ,0,Y,1.2,1.2,1.5,2.6,,,0.5,,,,2.5,,,,0.66,0.66,0.66,0.66,0.66,,,,,,,,,,,,,,,,,,,,0.79,,,,0.79,0.79,,,,,,
229,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,,1,1,1,,,,,,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,
230,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,
231,Pineapples,"Pineapples, loose, per Kg","Pineapples, 1Kg, local",Traverso, ,0,Y,1,1,,1,1,,,,,1,1,,1,,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,,1,,,,1,,,,1,,,,,
232,Pineapples,"Pineapples, loose, per Kg","Pineapples, local, 5 medium size, 200-300vt",Market House, ,0,Y,3.2,3.2,4.6,2.4,2.5,2,,,,,,,4.4,3.4,3.6,3.6,3.6,3.6,3.6,3.7,2.8,2.5,2.5,2.5,2.5,2.5,3.5,4.6,2.5,2.5,2.5,4.6,4.6,4.6,,,,5.43,8.27,,10.69,3.31,8.27,8.27,,7.7,8.06,,,
237,Yam,"Yam, basket, per Kg","Yam, Basket, local, 5baskets, 1000vt each",Market House, ,0,Y,11,11,19.1,18.3,20,24.8,20.2,17.8,17.8,18,22.9,,21.2,20,17,17,17,17,17,17,16.89,16.56,16.56,16.56,16.56,16.56,17.55,18.6,27,13.7,13.7,18.6,18.6,18.6,32.52,51.17,,30.25,33.45,41.65,54.22,49.79,33.45,41.65,,63.5,,,,
238,Island taro,"Island taro, basket, per Kg","Island taro, local, 5bundles, 500-600vt",Market House, ,0,Y,9.5,9.5,20,15.7,12.5,17.5,13.7,12.2,12.2,12.6,16.7,11.5,13.4,12,16,16,16,16,16,16,17.2,17.5,17.5,17.5,17.5,17.5,19.1,19.83,17.5,32.7,32.7,19.83,19.83,19.83,17.61,4.83,,,26.82,,32.2,,26.82,20.47,,13.17,,,,
239,Manioc,"Manioc (kassava), basket, per Kg","Manioc (kassava), Basket, local,5 baskets, 500-600vt",Market House, ,0,Y,12.3,12.3,18.5,12,19.1,23,18,17.6,17.6,18,17.5,19.9,15,24,24,24,24,24,24,24,23.5,21,21,21,21,21,17.2,48.25,21,38.1,38.1,48.25,48.25,48.25,53.1,56.59,,49.4,49.09,57.14,57.18,37.26,49.09,57.14,,73.35,42.12,,,
240,Sweet Potato (Kumala),"Sweet potato (kumala), basket, per Kg","Sweet Potato, Basket, local, 5baskets, 500-600vt",Market House, ,0,Y,9.7,9,17.2,14.5,16.3,20,14.3,17,17,17,17.5,19.9,20.4,18,20,20,20,20,20,20,21.3,22,22,22,22,22,17.1,84.88,22,35.3,35.3,84.88,84.88,84.88,43.98,43.44,,39.33,41.74,30.95,38.45,48.79,41.74,36.82,,51.7,30.12,,,
241,Taro (Fiji),"Taro, basket, per Kg","Taro Fiji, Basket, 11Kg, local,5 baskets, 500-600vt",Market House, ,0,Y,10.7,9,21.1,17,13.6,17.5,15.1,19.6,19.6,17.9,,17,16.6,15,12,12,12,12,12,12,11.8,12.2,12.2,12.2,12.2,12.2,18.9,27.95,12.2,16.2,16.2,27.95,27.95,27.95,37.99,31.29,,31.53,25.31,,28.92,29.94,25.31,30.95,,,,,,
242,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,,,1,,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,,1,,,,,,
243,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg, local",Traverso, ,0,Y,1,1,1,1,1,1,1,,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,
244,Potato,"Potatoes, red, loose, per Kg","Red potatoes, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
245,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,
246,Potato,"Potatoes, white, loose, per Kg","White potatoes, 1Kg, local",Traverso, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,1,,,,
247,Potato,"Potatoes, white, loose, per Kg","White not washed potatoes, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,,
248,Potato,"Potatoes, white, loose, per Kg","Sweet white kumala, local, 5 baskets, 500-600vt",Market House, ,0,Y,1,1,11.6,16.1,9.5,21.5,16,15,15,22.5,,17.3,19.8,21,22,22,22,22,22,22,23,22,22,22,22,22,19.8,35,22,22,22,35,35,35,,,,,37.92,42.56,38.15,41.3,37.92,42.56,,,,,,
249,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44.02,1,1,1,1,1,1,,1,,,,
250,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg, imported",Au Bon Marche Manples, ,0,N,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
251,Carrot imported,"Carrots, imported, loose, per Kg","Carrots, 1Kg",Traverso, ,0,Y,1,1,,1,1,1,1,1,1,1,,1,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,,,
252,Carrot local,"Carrots, loose, per Kg","Fresh carrots, 1Kg",Au Bon Marche Manples, ,0,Y,1,1,1,1,1,1,1,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
253,Carrot local,"Carrots, loose, per Kg","Fresh carrots, local, 5 bundles, 100vt",Market House, ,0,Y,1,1,1.2,1.1,1.5,,0.8,1.2,1.2,,,1,1,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,2.82,2.67,,,2.82,,,,,,
254,Radish,"Radish, pkt, per Kg","Radish, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
255,Radish,"Radish, pkt, per Kg","Radish, Pkt",Au Bon Marche Manples, ,0,Y,1,1,,,,1,,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Radish,"Radish, pkt, per Kg","Radish, Pkt",Traverso, ,0,Y,1,1,,1,0.218,1,,,,1,,1,,,,,,,,,,,,,,,1,2,,,,2,2,2,,,,,,,,,,1,,,,,,
257,Radish,"Radish, pkt, per Kg","Radish, local, 5bundles, 100vt",Market House, ,0,Y,1.1,1.1,0.9,0.5,0.4,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,1.8,1.25,,,,,,
258,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,0.24,1,1,0.8,0.234,1,1,0.336,,,1,,,1,1,1,1,1,1,1,0.86,0.28,1,1,1,0.28,0.28,0.28,,1,,,0.296,1,,0.249,0.23,1,1,,,,,
259,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,0.608,1,0.232,,,0.8,0.23,,1,1,,,,,,,,,,,,,0.395,1,,,,1,1,1,1,,,,,0.26,,,0.231,1,1,,,,,
260,Lettuce local,"Lettuce, per Kg","Lettuce, 1Kg, local",Traverso, ,0,Y,1,1,1,1,0.158,1,0.278,1,1,0.2,,,1,1,0.272,0.272,0.248,0.3,0.3,0.249,0.249,0.35,0.35,0.35,0.35,0.35,,,0.35,0.35,0.35,,,,,1,,,1,0.65,1,0.233,0.242,1,1,,,,,
261,Lettuce local,"Lettuce, per Kg","Lettuce, local, 5 medium rings, 300-400vt",Market House, ,0,Y,1.5,1.5,4.2,3.2,5.5,,1.5,3.8,3.8,,3.6,6,5.4,,,,,,,,,,,,,,2.1,9.85,,,,9.85,9.85,9.85,7.43,,,,4.29,7.69,1.81,,4.29,7.69,,,4.37,,,
262,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,,,,,
263,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Au Bon Marche Manples, ,0,Y,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
264,Lettuce imported,"Lettuce, imported, per Kg","Lettuce, 1Kg, imported",Traverso, ,0,Y,1,1,,1,,,,,,,,1,1,,,,,,,,,,,,,,0.765,1,,,,1,1,1,,,,,,,,,,,,,,,,
265,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Tomato local,"Tomato, local, loose, per Kg","Tomato, 1Kg, local",Au Bon Marche Manples, ,0,Y,1,1,,,1,1,,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,
267,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, small size",Traverso, ,0,Y,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,1,1,,,,,,,,,1,,,,
268,Tomato imported,"Tomato, loose, per Kg","Tomato, local, 10 fruits, big size, 50-60vt",Market House, ,0,Y,2.5,2.5,2.2,2.1,2.9,,,2.5,2.5,,,1.8,1,,,,,,,,,,,,,,2.3,1.05,,,,1.05,1.05,1.05,,,,,2.88,4.43,5.07,,2.88,7.69,,,1.86,,,
269,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,,,,1,,1,,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,,,,
270,Tomato imported,"Tomato, imported, loose, per Kg","Tomato, 1Kg, imported",Au Bon Marche Manples, ,0,Y,1,1,,,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,,
271,Tomato imported,"Tomato, loose, per Kg","Tomato, 1Kg, imported, big size",Traverso, ,0,Y,1,1,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,1,1,,,,1,1,1,,1,,,1,,,,1,1,,,,,,
272,Cucumber,"Cucumber, loose, per Kg","Cucumber, 1Kg",Au Bon Marche Nambatu, ,0,Y,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,,,1,1,,,1,1,1,1,1,1,1,,,,
